session_id	experiment_id	code	name	comments	event_id	type	device_time	logged_time	time	confidence_interval	delay	filter_id	left_gaze_x	left_gaze_y	left_gaze_z	left_eye_cam_x	left_eye_cam_y	left_eye_cam_z	left_angle_x	left_angle_y	left_raw_x	left_raw_y	left_pupil_measure1	left_pupil_measure1_type	left_pupil_measure2	left_pupil_measure2_type	left_ppd_x	left_ppd_y	left_velocity_x	left_velocity_y	left_velocity_xy	right_gaze_x	right_gaze_y	right_gaze_z	right_eye_cam_x	right_eye_cam_y	right_eye_cam_z	right_angle_x	right_angle_y	right_raw_x	right_raw_y	right_pupil_measure1	right_pupil_measure1_type	right_pupil_measure2	right_pupil_measure2_type	right_ppd_x	right_ppd_y	right_velocity_x	right_velocity_y	right_velocity_xy	status	
1	1	E1S01	Session Name	None	88	52	42947.1914062	20.8868293762	42947.1914062	0.0	-42926.3046875	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	89	52	42947.2226562	20.9469432831	42947.2226562	0.0	-42926.2773438	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	90	52	42947.2578125	20.9568157196	42947.2578125	0.0	-42926.3007812	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	91	52	42947.2890625	20.9885139465	42947.2890625	0.0	-42926.3007812	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	92	52	42947.3242188	21.0268383026	42947.3242188	0.0	-42926.296875	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	93	52	42947.3554688	21.0568256378	42947.3554688	0.0	-42926.3007812	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	94	52	42947.390625	21.0868110657	42947.390625	0.0	-42926.3046875	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	95	52	42947.4257812	21.1168441772	42947.4257812	0.0	-42926.3085938	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	96	52	42947.4570312	21.1468849182	42947.4570312	0.0	-42926.3085938	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	97	52	42947.4921875	21.196931839	42947.4921875	0.0	-42926.2929688	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	98	52	42947.5234375	21.2268676758	42947.5234375	0.0	-42926.296875	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
1	1	E1S01	Session Name	None	99	52	42947.5585938	21.2568531036	42947.5585938	0.0	-42926.3007812	6010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70	0.0	0	0.0	0.0	0.0	0.0	0.0	16	
