Subject_id,Decision,Trigger,Input of made choice
0,space,1001,['9;13;14;15;16;1;2;3;4;5;6;11;12']
0,space,2001,['9;13;14;15;16;1;2;3;4;5;6;11;12']
0,['space'],3001,['9;13;14;15;16;1;2;3;4;5;6;11;12']
0,space,1001,['8;12;13;14;15;16;1;2;3;4;5;6;11']
0,space,2001,['8;12;13;14;15;16;1;2;3;4;5;6;11']
0,['space'],3001,['8;12;13;14;15;16;1;2;3;4;5;6;11']
